"Subject" "ActivityName" "DomainSignal" "RawSignal" "Acceleration" "Magnitude" "Measure" "JerkSignal" "Axis" "count" "average"
"1" 1 "LAYING" "Frequency" "Accelerometer" "Body" NA "Mean" NA "X" 61 -0.994381034918033
"2" 1 "LAYING" "Frequency" "Accelerometer" "Body" NA "Mean" NA "Y" 61 -0.975188263114754
"3" 1 "LAYING" "Frequency" "Accelerometer" "Body" NA "Mean" NA "Z" 61 -0.986701060819672
"4" 1 "LAYING" "Frequency" "Accelerometer" "Body" NA "Mean" "Jerk" "X" 61 -0.994511475245902
"5" 1 "LAYING" "Frequency" "Accelerometer" "Body" NA "Mean" "Jerk" "Y" 61 -0.986778038852459
"6" 1 "LAYING" "Frequency" "Accelerometer" "Body" NA "Mean" "Jerk" "Z" 61 -0.990759625901639
"7" 1 "LAYING" "Frequency" "Accelerometer" "Body" NA "Std Dev" NA "X" 61 -0.994746355409836
"8" 1 "LAYING" "Frequency" "Accelerometer" "Body" NA "Std Dev" NA "Y" 61 -0.970189122295082
"9" 1 "LAYING" "Frequency" "Accelerometer" "Body" NA "Std Dev" NA "Z" 61 -0.980379174754098
"10" 1 "LAYING" "Frequency" "Accelerometer" "Body" NA "Std Dev" "Jerk" "X" 61 -0.994973103114754
"11" 1 "LAYING" "Frequency" "Accelerometer" "Body" NA "Std Dev" "Jerk" "Y" 61 -0.987603905901639
"12" 1 "LAYING" "Frequency" "Accelerometer" "Body" NA "Std Dev" "Jerk" "Z" 61 -0.992393319508197
"13" 1 "LAYING" "Frequency" "Accelerometer" "Body" "Magnitude" "Mean" NA NA 61 -0.983433848852459
"14" 1 "LAYING" "Frequency" "Accelerometer" "Body" "Magnitude" "Mean" "Jerk" NA 61 -0.992898819180328
"15" 1 "LAYING" "Frequency" "Accelerometer" "Body" "Magnitude" "Std Dev" NA NA 61 -0.980641850163934
"16" 1 "LAYING" "Frequency" "Accelerometer" "Body" "Magnitude" "Std Dev" "Jerk" NA 61 -0.992625300983607
"17" 1 "LAYING" "Frequency" "Gyroscope" "Body" NA "Mean" NA "X" 61 -0.988992516393443
"18" 1 "LAYING" "Frequency" "Gyroscope" "Body" NA "Mean" NA "Y" 61 -0.990734666229508
"19" 1 "LAYING" "Frequency" "Gyroscope" "Body" NA "Mean" NA "Z" 61 -0.979343301311475
"20" 1 "LAYING" "Frequency" "Gyroscope" "Body" NA "Std Dev" NA "X" 61 -0.990011799508197
